isbn13,titre,auteur_prenom,auteur_nom,date_publication,nb_pages,lien google book,recherche google,cover
9782070422890,La leçon de musique,Pascal,Quignard,30/10/2002,121,https://www.google.fr/books/edition/_/0Q-WoAEACAAJ?hl=fr,https://www.google.com/search?q=9782070422890,https://inventaire.io/img/entities/c648a6c4c553fd3ef20f5e1c7e160f2a5a5dfb09
9782070718887,Les Confessions d'un mangeur d'opium anglais,Thomas,Quincey,01/06/1990,406,https://www.google.fr/books/edition/_/5uekHAAACAAJ?hl=fr,https://www.google.com/search?q=9782070718887,https://inventaire.io/img/entities/521410cd670775ad4dc8bee32483741200983bd5
9782020047999,L'Enseignement du Bouddha d'après les textes les plus anciens,Walpola,Rahula,18/05/2004,188,https://www.google.fr/books/edition/_/fdf2swEACAAJ?hl=fr,https://www.google.com/search?q=9782020047999,https://inventaire.io/img/entities/66be4637ec59ec6202c188e8d3c4f4334efb7c48
9782221035917,Une histoire de la musique,Lucien,Rebatet,06/11/1998,,https://www.google.fr/books/edition/_/Z7Yh0QEACAAJ?hl=fr,https://www.google.com/search?q=9782221035917,https://inventaire.io/img/entities/44666636b2c3417e49f8f7260e8f4d430f401fc6
9782221073483,"Cultes, mythes et religions",Salomon,Reinach,26/09/1996,1350,https://www.google.fr/books/edition/_/GFyzQgAACAAJ?hl=fr,https://www.google.com/search?q=9782221073483,https://inventaire.io/img/entities/907726598be2bd9e98c454d9609c213cbf718ba9
9782742752164,Journal : 1887-1910,Jules,Renard,01/08/2004,336,https://www.google.fr/books/edition/_/dmdRPgAACAAJ?hl=fr,https://www.google.com/search?q=9782742752164,https://inventaire.io/img/entities/0c8a6984f84971f63f1561fd3df48e7d51ff326f
9782710326229,On ne peut pas voler la lune,Paul,Reps,28/05/2004,226,https://www.google.fr/books/edition/_/WLJxPQAACAAJ?hl=fr,https://www.google.com/search?q=9782710326229,https://inventaire.io/img/entities/556887c1ac6f4330c0140e97b7bd84815dbb7128
9782221045459,Anthologie de la poésie française,Jean-François,Revel,07/11/2002,690,https://www.google.fr/books/edition/_/srMrAAAAMAAJ?hl=fr,https://www.google.com/search?q=9782221045459,https://inventaire.io/img/entities/f6ced1daec4ba0c73c61908569356c5fc113bedf
9782841113958,L'art de la méditation,Matthieu,Ricard,02/10/2008,154,https://www.google.fr/books/edition/_/AW_HPAAACAAJ?hl=fr,https://www.google.com/search?q=9782841113958,https://inventaire.io/img/entities/2fb7616ec17e605dcf5e9d898c0827b0a0147402
9782081311961,"L'Italie, Rome et moi",Philippe,Ridet,28/09/2013,256,https://www.google.fr/books/edition/_/EIE3ngEACAAJ?hl=fr,https://www.google.com/search?q=9782081311961,https://inventaire.io/img/entities/cc5cf91ba7f6bd2c0d5504e319d70808334a56b7
9782918597476,La Troisième Révolution Industrielle,Jeremy,Rifkin,28/01/2012,380,https://www.google.fr/books/edition/_/69z9tgAACAAJ?hl=fr,https://www.google.com/search?q=9782918597476,https://inventaire.io/img/entities/223e16f47170ed69a37bbf0ed5c60d3d3f8f3d73
9782246009917,Lettres à un jeune poète,Rainer,Rilke,06/05/1999,147,https://www.google.fr/books/edition/_/mWwlHAAACAAJ?hl=fr,https://www.google.com/search?q=9782246009917,https://inventaire.io/img/entities/17254e612846fc2992e59aa180b0a7b7b16928a0
